City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Kenai,US,60.55,-151.26,24.01,37,1,29.97,clear sky
329,Lompoc,US,34.64,-120.46,62.6,77,1,4.47,clear sky
330,Kamaishi,JP,39.27,141.88,53.6,93,75,4.7,light intensity shower rain
331,Nabire,ID,-3.37,135.48,83.26,81,90,4.0,light rain
332,Acapulco,MX,16.86,-99.89,80.01,78,63,5.95,broken clouds
333,Lasa,IT,46.62,10.7,42.01,100,20,2.24,few clouds
334,Pundaguitan,PH,6.37,126.17,84.58,72,100,12.01,overcast clouds
335,Qaqortoq,GL,60.72,-46.03,17.6,52,0,4.7,clear sky
336,Pierre,US,44.37,-100.35,39.99,51,1,4.7,clear sky
337,Brezno,SK,48.8,19.64,46.0,74,98,1.63,overcast clouds
338,Terrasini,IT,38.15,13.08,59.0,82,0,4.7,clear sky
339,Marzuq,YE,14.4,46.47,69.66,24,0,3.24,clear sky
340,Ahipara,NZ,-35.17,173.17,66.25,89,99,7.61,overcast clouds
341,Horta,PT,38.53,-28.63,62.1,70,25,17.34,scattered clouds
342,Tasiilaq,GL,65.61,-37.64,26.6,58,0,4.7,clear sky
343,Piopio,NZ,-38.47,175.02,69.19,58,100,4.45,overcast clouds
344,Kiruna,SE,67.86,20.23,37.4,93,100,16.11,overcast clouds
345,Isangel,VU,-19.55,169.27,86.0,70,75,12.75,broken clouds
346,Maputo,MZ,-25.97,32.59,69.01,94,75,3.36,broken clouds
347,Yazoo City,US,32.86,-90.41,53.6,61,1,8.68,clear sky
348,Barcelos,PT,41.54,-8.62,64.4,93,90,11.41,overcast clouds
349,Nsanje,MW,-16.92,35.26,77.77,68,0,3.56,clear sky
350,Kletnya,RU,53.39,33.22,46.4,93,90,6.71,mist
351,Torbay,CA,47.67,-52.73,39.99,74,75,12.75,broken clouds
352,Mineros,BO,-17.12,-63.23,69.98,38,67,5.39,broken clouds
353,Moron,AR,-34.65,-58.62,64.99,55,0,1.01,clear sky
354,Bassar,TG,9.25,0.78,67.84,69,53,1.52,broken clouds
355,Belaya Gora,RU,68.53,146.42,-4.65,88,98,8.79,overcast clouds
356,Jian,CN,27.12,114.98,65.97,68,95,8.75,overcast clouds
357,Leningradskiy,RU,69.38,178.42,17.98,84,87,4.99,overcast clouds
358,Kajaani,FI,64.23,27.73,41.0,86,100,13.87,overcast clouds
359,Calama,CL,-22.47,-68.93,44.6,33,0,10.29,clear sky
360,Lincoln,US,40.8,-96.67,37.99,58,1,3.36,clear sky
361,Saquarema,BR,-22.92,-42.51,64.74,77,16,10.4,few clouds
362,Luangwa,ZM,-15.62,30.42,79.41,58,8,11.61,clear sky
